trial	average_inventory	stock_out_rate
0	61.135	0.0015
1	60.8151	0.0022
2	60.9859	0.0016
3	61.0755	0.001
4	60.8921	0.0011
5	61.0345	0.0015
6	60.4593	0.0012
7	61.292	0.0007
8	61.0067	0.0014
9	61.125	0.0011
10	60.5735	0.0013
11	61.0276	0.001
12	61.0362	0.001
13	60.4936	0.0012
14	60.884	0.0011
15	60.9519	0.0015
16	61.1923	0.0008
17	61.192	0.0009
18	60.7103	0.002
19	60.8581	0.0016
20	61.0575	0.0012
21	61.4309	0.0009
22	61.0765	0.0009
23	60.728	0.0008
24	60.8597	0.0008
25	61.2564	0.0012
26	60.8264	0.0011
27	61.0347	0.0018
28	61.2566	0.0012
29	60.6646	0.001
