,item_id,fill_qty,used_qty,code_name,unit_price,orders_placed,ordered_qty,leadtime_intdays_mean,leadtime_intdays_std,used_filled_ratio,used_ordered_ratio
0,100127,50,22.0,MED SURG DRESSINGS,3.8235,4,80.0,4.5,2.0816659994661326,0.44,0.275
1,100128,429,428.0,MED SURG OTHER,47.86,205,1094.0,0.0,0.0,0.9976689976689976,0.3912248628884826
2,100129,385,276.0,MED SURG OTHER,32.25,205,780.0,0.0,0.0,0.7168831168831169,0.35384615384615387
3,100130,101,84.0,MED SURG OTHER,32.93,70,240.0,0.0,0.0,0.8316831683168316,0.35
4,100131,37,41.0,MED SURG OTHER,39.48,18,72.0,0.0,0.0,1.1081081081081081,0.5694444444444444
5,100132,717,635.0,MED SURG OTHER,24.87,232,1316.0,0.0,0.0,0.8856345885634589,0.4825227963525836
6,100133,281,134.0,MED SURG OTHER,33.36,84,264.0,0.0,0.0,0.47686832740213525,0.5075757575757576
7,100134,261,186.0,MED SURG OTHER,44.18,150,404.0,0.0,0.0,0.7126436781609196,0.4603960396039604
8,100135,412,366.0,MED SURG OTHER,35.63,218,814.0,0.0,0.0,0.8883495145631068,0.44963144963144963
9,100136,138,110.0,MED SURG OTHER,30.36,71,231.0,0.0,0.0,0.7971014492753623,0.47619047619047616
10,100137,164,130.0,MED SURG OTHER,18.71,58,251.0,0.0,0.0,0.7926829268292683,0.5179282868525896
11,100138,305,196.0,MED SURG OTHER,30.04,167,440.0,0.0,0.0,0.6426229508196721,0.44545454545454544
12,100139,179,151.0,MED SURG OTHER,96.0,113,335.0,0.0,0.0,0.8435754189944135,0.4507462686567164
13,100140,333,254.0,MED SURG OTHER,19.23,126,562.0,0.0,0.0,0.7627627627627628,0.45195729537366547
14,10033,51,1.0,MED SURG OTHER,16.0,2,3.0,1.5,0.7071067811865476,0.0196078431372549,0.3333333333333333
15,100670,355,161.0,MED SURG OTHER,1.0558,24,820.0,0.0,0.0,0.4535211267605634,0.19634146341463415
16,100928,53,48.0,MED SURG DRESSINGS,0.1685,34,408.0,0.0,0.0,0.9056603773584906,0.11764705882352941
17,100929,141,96.0,MED SURG DRESSINGS,0.2267,86,1032.0,0.0,0.0,0.6808510638297872,0.09302325581395349
18,100930,123,84.0,MED SURG DRESSINGS,0.2516,52,858.0,0.0,0.0,0.6829268292682927,0.0979020979020979
19,100931,415,174.0,MED SURG DRESSINGS,0.3933,82,1332.0,0.0,0.0,0.41927710843373495,0.13063063063063063
20,100933,5217,737.0,MED SURG DRESSINGS,0.0668,34,43520.0,0.0,0.0,0.14126892850297107,0.016934742647058822
21,101527,2,3.0,INSTRUMENTS REUSABLE OPER ROOM REPROCESS,28.0,1,1.0,5.0,,1.5,3.0
22,101531,381,434.0,INSTRUMENTS REUSABLE OPER ROOM REPROCESS,28.0,23,410.0,7.826086956521739,2.367433860323019,1.1391076115485563,1.0585365853658537
23,10240,906,564.0,LINEN DRAPES OBS SURG DISP,0.0,87,1480.0,0.0,0.0,0.6225165562913907,0.3810810810810811
24,10264,4,6.0,MED SURG CATHETERS ANGIOPLASTICS,235.0,8,9.0,0.0,0.0,1.5,0.6666666666666666
25,103093,37,58.0,INSTRUMENTS DISPOSABLE,11.934,7,70.0,4.142857142857143,5.429197958832454,1.5675675675675675,0.8285714285714286
26,103145,5,3.0,MED SURG CATHETERS,104.5,5,5.0,3.2,4.919349550499538,0.6,0.6
27,10319,5,3.0,INSTRUMENTS DISPOSABLE,20.4,9,10.0,0.0,0.0,0.6,0.3
28,103211,199,109.0,SUTURES,21.78,16,288.0,8.6875,11.774088782859872,0.5477386934673367,0.3784722222222222
29,10506,8,8.0,INSTRUMENTS DISPOSABLE,50.53,18,15.0,0.0,0.0,1.0,0.5333333333333333
30,10509,1,3.0,MED SURG NEEDLES,60.18,9,21.0,0.0,0.0,3.0,0.14285714285714285
31,105771,222,149.0,STAPLES,45.0,25,408.0,1.04,0.2,0.6711711711711712,0.36519607843137253
32,10602,76,44.0,MED SURG DRESSINGS,0.0,9,90.0,0.0,0.0,0.5789473684210527,0.4888888888888889
33,10802,496,478.0,SUTURES,3.1822,20,720.0,2.35,1.2258187382102497,0.9637096774193549,0.6638888888888889
34,108140,529,444.0,MED SURG OTHER,57.8083,182,888.0,0.0,0.0,0.8393194706994329,0.5
35,108645,78,6.0,PROSTHESES PLATES AND SCREWS,185.0,6,13.0,1.3333333333333333,0.816496580927726,0.07692307692307693,0.46153846153846156
36,110205,3,5.0,INSTRUMENTS DISPOSABLE,543.6,1,5.0,2.0,,1.6666666666666667,1.0
37,111881,3,1.0,MED SURG DRESSINGS,0.0321,2,60.0,0.0,0.0,0.3333333333333333,0.016666666666666666
38,1119,939,384.0,SUTURES,4.3317,21,900.0,5.333333333333333,5.876506898943736,0.40894568690095845,0.4266666666666667
39,1121,872,2564.0,SUTURES,2.4369,48,2592.0,2.4791666666666665,1.9998891813269684,2.9403669724770642,0.9891975308641975
40,1122,8020,11036.0,SUTURES,2.4369,109,20880.0,2.3486238532110093,1.2573940334484182,1.3760598503740649,0.528544061302682
41,112960,10,15.0,INSTRUMENTS DISPOSABLE,270.25,23,30.0,3.217391304347826,3.3838724688403214,1.5,0.5
