item_id,label_0_total_usage,label_0_total_surgeries,label_0_average_usage,label_1_total_usage,label_1_total_surgeries,label_1_average_usage,label_2_total_usage,label_2_total_surgeries,label_2_average_usage,label_3_total_usage,label_3_total_surgeries,label_3_average_usage,label_4_total_usage,label_4_total_surgeries,label_4_average_usage,label_5_total_usage,label_5_total_surgeries,label_5_average_usage,label_6_total_usage,label_6_total_surgeries,label_6_average_usage,label_7_total_usage,label_7_total_surgeries,label_7_average_usage,label_8_total_usage,label_8_total_surgeries,label_8_average_usage,label_9_total_usage,label_9_total_surgeries,label_9_average_usage,label_10_total_usage,label_10_total_surgeries,label_10_average_usage,label_11_total_usage,label_11_total_surgeries,label_11_average_usage,label_12_total_usage,label_12_total_surgeries,label_12_average_usage,label_13_total_usage,label_13_total_surgeries,label_13_average_usage,label_14_total_usage,label_14_total_surgeries,label_14_average_usage,label_15_total_usage,label_15_total_surgeries,label_15_average_usage
100128,31.0,17854,0.001736305589783802,379.0,377,1.0053050397877985,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
100129,14.0,17973,0.0007789461970733879,258.0,258,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
100132,23.0,17626,0.0013048905026665154,607.0,605,1.0033057851239668,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
100135,16.0,17883,0.0008947044679304368,348.0,348,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
100140,4.0,17986,0.0002223951962637607,240.0,238,1.0084033613445378,7.0,7,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
100933,144.0,17815,0.008083076059500422,267.0,255,1.0470588235294118,70.0,51,1.3725490196078431,30.0,18,1.6666666666666667,27.0,17,1.588235294117647,4.0,2,2.0,154.0,59,2.610169491525424,1.0,1,1.0,10.0,7,1.4285714285714286,2.0,1,2.0,17.0,4,4.25,na,na,na,na,na,na,na,na,na,1.0,1,1.0,na,na,na
101531,247.0,18049,0.013684968696326667,183.0,182,1.0054945054945055,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10240,128.0,17947,0.00713211121635928,233.0,225,1.0355555555555556,13.0,10,1.3,19.0,6,3.1666666666666665,136.0,38,3.5789473684210527,4.0,1,4.0,na,na,na,na,na,na,10.0,3,3.3333333333333335,na,na,na,na,na,na,na,na,na,4.0,1,4.0,na,na,na,na,na,na,na,na,na
10802,340.0,18106,0.0187783055340771,113.0,112,1.0089285714285714,15.0,13,1.1538461538461537,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
108140,12.0,17801,0.0006741194314926127,424.0,423,1.0023640661938533,7.0,7,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
