,pref_card,case_cart_id
0,frozenset({'44038'}),2546
1,"frozenset({'72759', '134048'})",53
2,frozenset({'128816'}),60
3,"frozenset({'80192', '128816', '78573'})",2
4,"frozenset({'44038', '128816', '134048'})",2
5,frozenset({'72759'}),3181
6,"frozenset({'80192', '72759'})",4574
7,"frozenset({'80192', '72759', '44038'})",27
8,"frozenset({'72759', '128816'})",140
9,"frozenset({'134048', '128816', '78573'})",1
10,frozenset({'80192'}),46
11,"frozenset({'80192', '72759', '78573'})",4
12,"frozenset({'80192', '44038', '134048'})",1
13,"frozenset({'72759', '44038'})",9
14,"frozenset({'80192', '78573', '44038', '134048'})",1
15,"frozenset({'80192', '128816'})",2
16,"frozenset({'44038', '128816'})",16
17,"frozenset({'80192', '72759', '128816'})",742
18,"frozenset({'44038', '134048'})",25
19,"frozenset({'80192', '72759', '128816', '134048'})",1
20,frozenset({'78573'}),810
21,"frozenset({'44038', '78573'})",2088
22,"frozenset({'134048', '78573'})",7
23,"frozenset({'134048', '44038', '78573'})",240
24,"frozenset({'72759', '78573'})",2
25,"frozenset({'80192', '78573'})",75
26,"frozenset({'44038', '128816', '78573'})",443
27,"frozenset({'78573', '44038', '128816', '134048'})",74
28,"frozenset({'80192', '72759', '128816', '78573'})",2
29,"frozenset({'80192', '72759', '44038', '128816'})",5
30,"frozenset({'128816', '78573'})",111
31,"frozenset({'80192', '44038', '78573'})",6
32,"frozenset({'80192', '44038', '128816', '78573'})",10
33,frozenset({'134048'}),1
34,"frozenset({'44038', '128816', '80192', '78573', '134048'})",1
