,pref_card,case_cart_id
0,"frozenset({'38271', '36309', '139426', '28441'})",28
1,"frozenset({'38271', '14031', '139426'})",2
2,"frozenset({'38166', '38271', '139426'})",2
3,"frozenset({'139426', '1557'})",17
4,"frozenset({'38271', '139426', '1557'})",1
5,"frozenset({'38166', '139426'})",25
6,"frozenset({'14031', '139426', '28441'})",14
7,"frozenset({'36309', '1557'})",15
8,"frozenset({'38166', '1557', '28441'})",7
9,"frozenset({'36309', '139426', '1557'})",1
10,"frozenset({'28441', '139426', '1557'})",9
11,"frozenset({'38166', '36309', '139426'})",1
12,"frozenset({'14031', '36309', '28441'})",2
13,"frozenset({'38166', '139426', '28441'})",1
14,"frozenset({'14031', '36309', '139426'})",1
15,"frozenset({'38271', '14031', '139426', '28441'})",1
16,"frozenset({'14031', '36309'})",17
17,frozenset({'72759'}),7532
18,"frozenset({'38166', '28441'})",29
19,"frozenset({'38271', '14031', '72759'})",1
20,"frozenset({'38166', '14031', '36309', '72759'})",1
21,"frozenset({'38271', '72759'})",3
22,"frozenset({'38166', '72759'})",2
23,frozenset({'36309'}),1479
24,"frozenset({'36309', '72759'})",141
25,"frozenset({'14031', '36309', '72759'})",21
26,"frozenset({'38271', '139426', '28441'})",101
27,frozenset({'1557'}),127
28,frozenset({'139426'}),601
29,frozenset({'28441'}),821
30,"frozenset({'72759', '28441'})",544
31,"frozenset({'38271', '139426'})",262
32,"frozenset({'36309', '139426'})",42
33,"frozenset({'14031', '72759'})",487
34,"frozenset({'38271', '36309', '139426'})",20
35,"frozenset({'139426', '28441'})",30
36,"frozenset({'28441', '1557'})",104
37,frozenset({'14031'}),198
38,"frozenset({'36309', '28441'})",143
39,"frozenset({'72759', '1557'})",1
40,frozenset({'38166'}),22
41,"frozenset({'14031', '139426'})",41
42,frozenset({'38271'}),40
43,"frozenset({'14031', '72759', '28441'})",7
