,pref_card,case_cart_id
0,"frozenset({'36560', '78573'})",1409
1,"frozenset({'36709', '38286'})",21
2,"frozenset({'80420', '36560', '36709'})",20
3,"frozenset({'80420', '36560', '38286'})",29
4,"frozenset({'80420', '72759', '36560', '38286'})",3
5,"frozenset({'38286', '36560', '36709'})",9
6,"frozenset({'72759', '38286'})",444
7,"frozenset({'72759', '36560'})",2877
8,"frozenset({'72759', '36560', '38286'})",402
9,"frozenset({'80420', '36560', '36709', '78573'})",6
10,frozenset({'72759'}),4809
11,"frozenset({'36560', '36709', '38286', '78573'})",5
12,"frozenset({'72759', '36560', '78573'})",1
13,"frozenset({'80420', '36560', '72759'})",26
14,"frozenset({'72759', '36709'})",24
15,"frozenset({'38286', '72759', '36709'})",11
16,"frozenset({'72759', '36560', '36709'})",86
17,"frozenset({'36709', '72759', '36560', '38286'})",6
18,"frozenset({'72759', '78573'})",2
19,"frozenset({'72759', '36560', '38286', '78573'})",5
20,"frozenset({'80420', '72759', '36560', '36709'})",2
21,"frozenset({'38286', '80420', '36709'})",1
22,"frozenset({'80420', '36560', '38286', '78573'})",12
23,frozenset({'82955'}),28
24,frozenset({'36560'}),870
25,"frozenset({'80420', '36560'})",968
26,"frozenset({'80420', '36560', '82955', '38286'})",1
27,"frozenset({'36560', '82955', '72759'})",5
28,frozenset({'80420'}),332
29,"frozenset({'80420', '78573'})",98
30,"frozenset({'80420', '82955', '36709', '78573', '38286'})",1
31,"frozenset({'36560', '38286'})",385
32,frozenset({'78573'}),1554
33,frozenset({'38286'}),97
34,"frozenset({'80420', '82955', '38286'})",71
35,"frozenset({'72759', '82955'})",35
36,"frozenset({'80420', '82955', '38286', '78573'})",349
37,"frozenset({'80420', '36560', '78573'})",115
38,frozenset({'36709'}),18
39,"frozenset({'36560', '36709'})",31
40,"frozenset({'36709', '78573'})",6
41,"frozenset({'36560', '36709', '78573'})",19
42,"frozenset({'38286', '36709', '78573'})",16
43,"frozenset({'36709', '82955', '38286'})",53
44,"frozenset({'36560', '38286', '78573'})",32
45,"frozenset({'82955', '36709'})",17
46,"frozenset({'80420', '38286', '78573'})",123
47,"frozenset({'80420', '82955', '78573', '36560', '38286'})",2
48,"frozenset({'36709', '36560', '82955', '38286'})",1
49,"frozenset({'38286', '78573'})",15
50,"frozenset({'82955', '78573'})",84
51,"frozenset({'82955', '36709', '78573'})",7
52,"frozenset({'80420', '38286'})",144
53,"frozenset({'82955', '38286', '78573'})",6
54,"frozenset({'36709', '82955', '38286', '78573'})",4
55,"frozenset({'80420', '82955', '78573'})",6
56,"frozenset({'72759', '82955', '38286'})",2
