,pref_card,case_cart_id
0,frozenset({'85321'}),2859
1,frozenset({'12612'}),5
2,"frozenset({'85321', '79280', '12612'})",1
3,frozenset({'72759'}),4889
4,"frozenset({'10240', '72759'})",167
5,"frozenset({'139426', '12612'})",1
6,"frozenset({'85321', '100127'})",5
7,"frozenset({'85321', '10240'})",10
8,"frozenset({'85321', '72759'})",556
9,"frozenset({'72759', '12612'})",34
10,"frozenset({'85321', '139426', '12612'})",1
11,"frozenset({'10240', '128453', '139426'})",1
12,"frozenset({'85321', '72759', '12612'})",13
13,"frozenset({'85321', '10240', '72759'})",2
14,"frozenset({'10240', '72759', '12612'})",1
15,"frozenset({'85321', '10240', '139426'})",2
16,frozenset({'100127'}),1
17,"frozenset({'10240', '139426'})",1
18,frozenset({'128453'}),174
19,"frozenset({'85321', '100127', '128453', '139426'})",2
20,"frozenset({'128453', '72759'})",1995
21,"frozenset({'72759', '12612', '128453'})",47
22,"frozenset({'85321', '12612'})",35
23,"frozenset({'85321', '128453'})",3187
24,"frozenset({'85321', '128453', '139426'})",369
25,"frozenset({'85321', '128453', '72759'})",725
26,"frozenset({'85321', '139426'})",447
27,"frozenset({'85321', '128453', '139426', '12612'})",68
28,"frozenset({'85321', '10240', '72759', '128453'})",6
29,"frozenset({'79280', '139426'})",19
30,"frozenset({'85321', '128453', '12612'})",2
31,frozenset({'79280'}),8
32,"frozenset({'79280', '128453', '139426'})",36
33,"frozenset({'85321', '100127', '139426'})",33
34,"frozenset({'85321', '72759', '128453', '12612'})",6
35,"frozenset({'128453', '139426'})",14
36,frozenset({'10240'}),23
37,"frozenset({'100127', '139426'})",8
38,"frozenset({'85321', '79280', '128453', '139426'})",7
39,"frozenset({'85321', '10240', '128453'})",3
40,"frozenset({'128453', '139426', '12612'})",45
41,"frozenset({'10240', '128453', '72759'})",298
42,frozenset({'139426'}),132
43,"frozenset({'85321', '10240', '128453', '139426'})",14
44,"frozenset({'10240', '72759', '12612', '128453'})",1
