,pref_card,case_cart_id
0,frozenset({'44038'}),419
1,frozenset({'85321'}),1909
2,"frozenset({'85321', '35887', '63955'})",8
3,"frozenset({'85321', '35887', '18666', '63955'})",1
4,"frozenset({'63954', '85321', '128816'})",2
5,"frozenset({'18666', '72759'})",423
6,"frozenset({'44038', '128816'})",37
7,"frozenset({'85321', '18666', '44038', '128816'})",17
8,"frozenset({'85321', '35887', '18666'})",2
9,"frozenset({'44038', '63955', '63954', '35887', '85321'})",3
10,frozenset({'72759'}),6296
11,frozenset({'63955'}),3
12,"frozenset({'72759', '44038', '128816'})",5
13,"frozenset({'63954', '128816'})",3
14,"frozenset({'85321', '128816', '44038', '63955'})",1
15,frozenset({'18666'}),1
16,"frozenset({'72759', '44038'})",32
17,"frozenset({'85321', '35887', '18666', '44038'})",2
18,"frozenset({'63954', '35887', '44038'})",1
19,"frozenset({'18666', '72759', '128816'})",140
20,"frozenset({'63954', '85321', '44038', '63955'})",1
21,"frozenset({'63954', '35887', '85321', '63955'})",2
22,"frozenset({'63954', '35887', '85321', '128816'})",1
23,"frozenset({'44038', '128816', '63954', '35887', '85321'})",1
24,"frozenset({'18666', '72759', '44038'})",1
25,"frozenset({'72759', '128816'})",535
26,"frozenset({'18666', '44038', '128816'})",4
27,"frozenset({'85321', '72759'})",916
28,"frozenset({'85321', '18666', '44038'})",26
29,frozenset({'63954'}),124
30,"frozenset({'85321', '44038'})",3707
31,"frozenset({'85321', '72759', '44038'})",3
32,"frozenset({'44038', '63955'})",167
33,"frozenset({'85321', '18666', '72759', '128816'})",49
34,"frozenset({'85321', '44038', '63955'})",86
35,"frozenset({'85321', '72759', '128816'})",161
36,"frozenset({'128816', '63955'})",1
37,"frozenset({'63954', '85321'})",15
38,"frozenset({'85321', '44038', '128816'})",479
39,frozenset({'35887'}),59
40,"frozenset({'35887', '63955'})",2
41,"frozenset({'85321', '35887', '44038'})",240
42,"frozenset({'18666', '44038'})",177
43,"frozenset({'85321', '63955'})",12
44,"frozenset({'85321', '35887'})",295
45,"frozenset({'85321', '35887', '44038', '63955'})",36
46,"frozenset({'63954', '35887', '85321', '44038'})",17
47,"frozenset({'85321', '18666', '44038', '63955'})",18
48,frozenset({'128816'}),31
49,"frozenset({'63954', '35887'})",17
50,"frozenset({'85321', '18666'})",1
51,"frozenset({'18666', '85321', '72759'})",179
52,"frozenset({'63954', '35887', '85321'})",17
53,"frozenset({'35887', '44038'})",6
54,"frozenset({'85321', '35887', '44038', '128816'})",6
55,"frozenset({'44038', '63955', '35887', '85321', '18666'})",1
56,"frozenset({'85321', '128816'})",138
57,"frozenset({'44038', '63955', '128816', '35887', '85321'})",1
