,pref_card,case_cart_id
0,frozenset({'44038'}),4183
1,"frozenset({'100933', '36309'})",1
2,"frozenset({'86447', '35886', '36309'})",1
3,"frozenset({'86447', '35886', '44038'})",4
4,"frozenset({'86447', '35886', '44038', '36309'})",1
5,frozenset({'72759'}),5292
6,"frozenset({'100933', '36309', '72759'})",45
7,"frozenset({'72759', '44038'})",15
8,"frozenset({'36309', '72759'})",114
9,frozenset({'100933'}),160
10,"frozenset({'100933', '72759', '44038'})",23
11,frozenset({'35886'}),11
12,"frozenset({'35886', '72759'})",715
13,"frozenset({'35886', '72759', '44038'})",1
14,"frozenset({'100933', '35886', '72759'})",159
15,"frozenset({'36309', '35886', '44038'})",7
16,"frozenset({'86447', '44038'})",27
17,"frozenset({'35886', '36309', '72759'})",3
18,"frozenset({'100933', '72759'})",2370
19,frozenset({'86447'}),50
20,"frozenset({'86447', '36309'})",118
21,"frozenset({'35886', '44038'})",19
22,"frozenset({'100933', '35886', '72759', '44038'})",2
23,frozenset({'36309'}),400
24,"frozenset({'36309', '44038'})",1177
25,"frozenset({'86447', '36309', '44038'})",35
26,"frozenset({'36309', '35886'})",9
27,"frozenset({'35886', '100933', '36309', '72759'})",1
