,pref_card,case_cart_id
0,frozenset({'44038'}),51
1,"frozenset({'85321', '75131', '44038', '35887', '38271'})",3
2,"frozenset({'85321', '36309', '78573', '35887', '63954'})",1
3,"frozenset({'36308', '35887'})",1
4,"frozenset({'18666', '44038', '78573', '28441'})",1
5,"frozenset({'36309', '78573'})",5
6,"frozenset({'18666', '128816', '72759'})",1
7,"frozenset({'85321', '44038', '36308'})",3
8,"frozenset({'72759', '36309', '100933'})",4
9,"frozenset({'72759', '44038', '100933'})",1
10,"frozenset({'72759', '128816'})",18
11,"frozenset({'72759', '100933', '128816'})",94
12,"frozenset({'85321', '78573', '35887', '63955', '80420'})",1
13,"frozenset({'85321', '139426', '36308'})",2
14,"frozenset({'44038', '14031', '78573', '37906'})",3
15,"frozenset({'18666', '72759', '100933'})",50
16,"frozenset({'85321', '36309', '44038', '78573', '63955'})",1
17,"frozenset({'36309', '44038', '128816', '78573'})",29
18,"frozenset({'85321', '36308'})",2
19,"frozenset({'18666', '44038', '128816', '85321'})",7
20,"frozenset({'72759', '14031'})",4
21,"frozenset({'85321', '72759', '100933'})",33
22,"frozenset({'18666', '100933', '128816', '72759'})",21
23,"frozenset({'85321', '44038', '78573', '36308'})",2
24,"frozenset({'18666', '36309', '44038', '85321'})",3
25,"frozenset({'85321', '36309', '44038', '78573', '36308'})",5
26,"frozenset({'18666', '85321', '44038', '35887'})",1
27,"frozenset({'85321', '18666', '44038', '78573', '63955', '36308'})",1
28,"frozenset({'100933', '72759', '14031'})",11
29,frozenset({'63955'}),3
30,"frozenset({'85321', '139426', '36308', '44038', '35887', '63955', '38271'})",1
31,"frozenset({'85321', '44038', '78573', '35887', '63955', '63954'})",1
32,"frozenset({'85321', '139426', '44038', '78573', '35887', '36308'})",1
33,"frozenset({'85321', '35887', '78573', '63955', '63954'})",1
34,"frozenset({'85321', '37906', '78573', '35887', '80420'})",3
35,"frozenset({'85321', '1557', '28441', '35887'})",1
36,"frozenset({'85321', '44038', '80420', '36308'})",1
37,frozenset({'75937'}),6
38,"frozenset({'1557', '36309', '44038', '78573'})",2
39,"frozenset({'72759', '100933', '128816', '14031'})",4
40,"frozenset({'72759', '100933', '128816', '38271'})",2
41,"frozenset({'85321', '80420', '36308', '35887'})",1
42,"frozenset({'85321', '36309', '28441', '44038', '78573', '35887', '80420', '36308'})",1
43,"frozenset({'85321', '72759'})",4
44,"frozenset({'18666', '85321', '35887'})",2
45,"frozenset({'85321', '128816', '44038'})",2
46,"frozenset({'18666', '72759', '36309', '14031'})",8
47,"frozenset({'85321', '80420', '35887'})",1
48,"frozenset({'36309', '128816', '44038'})",1
49,"frozenset({'85321', '35887', '36309', '44038', '78573', '63955', '36308'})",1
50,"frozenset({'85321', '44038', '78573', '63955', '63954'})",1
51,frozenset({'18666'}),1
52,"frozenset({'85321', '36309', '44038', '14031', '63955', '128816', '36308'})",1
53,"frozenset({'38271', '139426', '36308', '28441'})",5
54,"frozenset({'75937', '100933'})",155
55,"frozenset({'44038', '75131'})",3
56,"frozenset({'85321', '78573', '28441', '35887'})",1
57,"frozenset({'36309', '128816', '63954', '36308'})",3
58,"frozenset({'85321', '139426', '36308', '28441'})",2
59,frozenset({'72759'}),125
60,"frozenset({'72759', '28441'})",9
61,"frozenset({'85321', '78573', '63954', '35887', '80420'})",2
62,"frozenset({'18666', '85321', '44038', '63955'})",2
63,"frozenset({'85321', '36309', '44038', '14031', '63955', '36308'})",3
64,"frozenset({'85321', '139426', '36309', '44038', '14031'})",1
65,"frozenset({'85321', '139426', '38166', '28441', '44038', '35887', '36308'})",1
66,"frozenset({'36309', '28441', '14031', '80420', '36308'})",2
67,"frozenset({'85321', '35887', '44038', '78573', '63955', '63954', '80420'})",2
68,"frozenset({'36309', '128816'})",8
69,"frozenset({'72759', '100933'})",323
70,"frozenset({'85321', '37906'})",1
71,"frozenset({'85321', '36309', '28441', '44038', '78573'})",2
72,"frozenset({'85321', '28441', '44038', '78573', '128816', '36308'})",1
73,"frozenset({'44038', '78573', '37906'})",2
74,"frozenset({'18666', '72759', '14031'})",25
75,"frozenset({'80420', '28441'})",3
76,"frozenset({'85321', '44038', '14031', '63955', '36308'})",3
77,"frozenset({'36309', '28441', '44038', '35887', '36308'})",3
78,"frozenset({'44038', '63954', '78573', '35887'})",1
79,"frozenset({'44038', '78573', '28441'})",1
80,"frozenset({'18666', '36309', '72759'})",7
81,"frozenset({'85321', '36309', '44038', '35887', '128816'})",1
82,"frozenset({'139426', '79280'})",8
83,"frozenset({'85321', '18666', '44038', '78573', '35887'})",1
84,"frozenset({'85321', '139426', '36308', '35887'})",1
85,"frozenset({'85321', '139426', '44038', '14031'})",5
86,"frozenset({'85321', '28441', '44038', '78573', '36308'})",1
87,"frozenset({'85321', '36309', '28441', '44038', '78573', '128816'})",2
88,"frozenset({'80420', '36308'})",4
89,"frozenset({'85321', '28441', '35887', '80420', '36308'})",2
90,"frozenset({'85321', '28441', '44038', '78573', '63955', '80420'})",1
91,"frozenset({'85321', '36309', '35887', '63955', '63954', '36308'})",1
92,"frozenset({'75937', '72759'})",4311
93,"frozenset({'78573', '36308'})",1
94,"frozenset({'85321', '28441', '35887', '1557', '80420', '36308'})",1
95,"frozenset({'139426', '36309', '100127'})",1
96,"frozenset({'139426', '44038', '14031', '36308'})",5
97,frozenset({'100127'}),1
98,"frozenset({'72759', '75937', '80420', '28441'})",1
99,"frozenset({'139426', '44038', '36308', '28441'})",1
100,"frozenset({'85321', '75937', '72759', '100933', '1557'})",1
101,"frozenset({'85321', '36308', '37906'})",2
102,"frozenset({'18666', '75937', '72759', '100933'})",50
103,"frozenset({'85321', '75937', '18666', '72759'})",40
104,"frozenset({'72759', '36309', '75937'})",20
105,"frozenset({'85321', '75937', '18666', '72759', '14031', '128816'})",4
106,"frozenset({'75937', '72759', '78573'})",2
107,"frozenset({'36309', '75937', '72759', '128816'})",3
108,frozenset({'100933'}),5
109,"frozenset({'18666', '36309', '72759', '75937'})",51
110,"frozenset({'36309', '75937', '18666', '72759', '14031'})",7
111,"frozenset({'72759', '75937', '44038', '85321'})",2
