,pref_card,case_cart_id
0,"frozenset({'85321', '129771', '80623', '36558', '35893', '133221', '44782', '21920', '80878', '44038', 'UH0580', '35863', 'SN70006Z', '69589', '84364', '35923', 'UH0583', 'UH0715', 'SN00591', 'UH095', '82099', '128769', '36608', 'SN0622', '44409', 'LHLS893', '36285', '36380', 'UH0697', '27582M', 'SN0605', 'LHLS970', '36560', 'LHLS839', 'SN01178', '58383', 'SN00114', '44058', 'UH0211', '2008', '80950', '128453', 'UH0699', '52902', 'SN80002', 'UH0819', '129636', '84665', '36556', '36343', '82561', 'SN01105', '51985', '82100', '36185', '35983', '83106', 'SN01182', 'SN00112', '351', '597', '86684', '36555', '83533', '585', '83104', '587', '83107', 'SN20406', 'UH0698', '81165', 'SN42824', '53171', '31258', '38242'})",1
1,"frozenset({'85321', '99268', '44038', '81657', 'SN70006Z', '63210', 'UH0715', '99271', '34652', '40943', 'UH0697', '27582M', 'LHLS970', '99269', '1121', '128453', 'SN0919', '38206', '15140', '15813', 'SN01182', '351', 'SN00112', 'SN01042', '83104', '39798', '53171', '86685', '129771', 'SN80001', '38160', 'SN0604', '56931', '77069', 'SN00591', '99272', '10610', 'SN00400', 'LHLS839', '58383', '78654', '47320', '36556', '3181', '597', '38207', '1917', '83107', 'SN20406', '81165', 'SN80003', '31258', '291', '44782', '35923', '36608', '44409', '40576', 'LHLS893', '36285', '99270', '36380', 'SN01178', '52902', '7414', '5478', '84665', '82561', '99273', '36038', '86684', '83533', '44696', '3070', 'SN42824', '38242', '80623', '36558', '15831', '35893', '133221', '128770', '80878', '44698', 'SN1087', 'UH0214', '35863', 'SN0611', 'SNM00060', 'SN0622', '58530', 'SN00114', '44058', '2008', 'UH0699', '36343', '79063', '51985', '35983', '83106', '1686', '58116', '36555', '39315', 'UH0698', '1308'})",1
2,"frozenset({'120767', '99268', '46818', '78573', '85321', '44038', 'SN70006Z', '63210', '108240', 'UH0715', '133577', '99271', '52822', '25671', '44765', '40943', 'UH0697', '27582M', 'SN0605', 'LHLS970', '99269', '38246', '60945', '128453', '38206', 'UH0819', 'SN01182', 'SN00112', '34985', '351', 'SN00399', '83104', '39798', '53171', 'SN100146', '38262', '129771', '56931', 'SN0608', '84364', '83105', '44744', '77069', 'SN00591', 'UH095', '99272', '50956', 'SN00400', '38279', 'LHLS839', '58383', '78444', '1122', '36199', '47320', 'SN0746', '38247', '36556', '597', '38207', '83107', 'SN20406', '81165', '31258', '120817', '38202', '38208', '44782', '44680', '35923', '44409', '40576', 'LHLS893', '36285', '99270', '36380', '72791', 'SN01178', '52902', '5478', '84665', '82561', '99273', '36038', '86684', 'SN0610', '83533', '587', 'SN20550', '3070', '38410', 'SN42824', '38242', '80623', '36558', '35893', '133221', '128770', '80878', 'SN1087', '35863', 'SN00114', '2008', 'UH0699', 'SN0602', '36343', 'UH0947', '36185', '35983', '83106', '58116', '36555', '39315', 'UH0698', 'SN80002', '38160'})",1
3,"frozenset({'85321', '120767', '78573', '44038', '81657', 'SN70006Z', '69589', 'UH0583', '63210', 'UH0715', '133577', '25671', '40943', 'UH0697', '27582M', 'SN0605', 'LHLS970', '128453', '38206', '584', '36613', '15813', 'SN01182', '34985', '79541', '83104', '39798', '53171', 'SN100146', 'UH0700', '76780', '86685', '129771', '45723', '21920', '38200', '56931', 'SN0608', '84364', 'SN00591', '589', 'SN00400', '38279', 'LHLS839', '58383', '129639', '134060', '38401', '80950', '1122', '36199', '129636', '36556', '79951', '38207', '352', 'LHLS842', 'SN20406', '1919', '81165', 'SN80003', '31258', '120817', '38202', '44782', '35923', '38197', '44680', '14205', 'UH0936', '36608', '44409', 'LHLS893', '36285', '36380', 'SN01178', '52902', '5478', '84665', '82561', 'SN01105', '36038', '82100', '29413', '86684', 'SN0610', '83533', '587', '3070', 'SN42824', '38242', '80623', '36558', '35893', '133221', 'SN1087', 'UH0580', '80878', '42345', '35863', '3229', '82099', '1857', '2008', 'SN0602', 'SNU5009', '36343', '51985', '35983', '83106', '134033', '1686', '36555', 'UH0698', 'SN80002', '38160'})",4
4,"frozenset({'13698', '85321', '35888', '44038', '81657', '80254', '69589', 'SN70006Z', 'UH0583', 'UH0715', '35883', '40943', 'UH0697', '27582M', 'SN0605', 'LHLS970', 'UH0198', '128453', '38206', 'SN01182', '351', '34985', '79541', '83104', '53171', '129771', '45723', '38160', '21920', '84364', '108253', 'SN00591', 'SN00400', '38279', 'LHLS839', '58383', '44748', 'UH0211', '80950', 'UH0200', '1122', '36199', '47320', '129636', '36556', '1917', '585', 'SN20406', '38199', '81165', 'SN80003', '31258', '120817', 'UH0496', '291', '44782', '35923', '38197', '44680', '36608', '57166', '44409', 'LHLS893', '36285', '36380', 'SN01178', '52902', '5478', '84665', '82561', 'SN01105', '36038', '82100', '86684', '83533', '3070', 'SN42824', '38242', '80623', '36558', '35893', '133221', 'UH0580', '43954', 'SN1087', '35863', '82099', '58530', '81828', '36560', '1857', '44058', '134057', 'SN0236', '2008', '36343', '35983', '83106', '1686', '36555', 'UH0698', 'SN80002', '1308', '38198'})",2
5,"frozenset({'85321', '45018', '44038', 'SN70006Z', '69589', 'UH0715', '133577', '35883', '25671', 'UH0697', '27582M', 'SN0605', 'LHLS970', '82093', '128453', 'UH0819', 'SN00113', 'SN01182', '351', '34985', 'SN00399', 'LHLS809', '79541', '35872', '83104', '39798', 'SN100146', '53171', 'SN01117', '76780', '113527', '129771', '38160', '34162', '40604', '38200', '35874', '84364', 'SN00591', 'SNU5033', '71496', '46496', 'LHLS839', '58383', 'UH0212', '1122', 'SN03577', '79948', '36556', '38218', '3437', 'SN20406', '81165', '69590', 'SN80003', '120817', '38202', 'UH0917', '44782', '35923', '14205', '128769', '36608', '38232', 'GENPICK', '44409', 'LHLS893', '36380', 'SN00983', 'SN01178', '52902', '80918', '84665', '82561', '86684', '38238', '1557', '83533', '76554', '3070', 'SN42824', '48097', '80623', '36558', '84311', '35893', '133221', 'SN1087', '35863', '119551', 'UH0929', '44481', 'SN00114', '1857', '2008', '35983', '83106', 'NOITEMS', 'UH0914', '1686', '41551', '36555', '68309', 'UH0698', '289', 'SN80002', '1308'})",1
6,"frozenset({'13698', '85321', '78573', '35888', '44038', '81657', 'SN70006Z', '69589', 'UH0583', '80254', 'UH0715', '133577', '35883', '34652', '40943', 'UH0697', '27582M', 'LHLS970', 'UH0198', '1121', '128453', '38206', '15140', '584', '15813', 'SN01182', '83104', '39798', '53171', '86685', '129771', '45723', 'SN80001', '38160', 'SN0604', '21920', 'SN00591', '10610', 'SN00400', 'LHLS839', '58383', '44748', '78654', '82315', '80950', 'UH0200', '36199', '47320', '129636', '36556', '1917', 'LHLS842', 'SN20406', '38199', '81165', 'SN80003', '31258', '586', 'UH0496', '291', '44782', '35923', '38197', '36608', '57166', '44409', '40576', 'LHLS893', '36285', '36380', 'SNM00151', 'SN01178', '52902', '7414', '5478', '84665', '82561', 'SN01105', '36038', '82100', '83533', '3070', 'SN42824', '42349', '38242', '80623', '36558', '35893', '133221', 'UH0580', 'UH0214', 'SN1087', '35863', 'SN0611', '82099', '58530', '81828', '36560', '44058', '134057', 'SN0236', '2008', '36343', '51985', '35983', '83106', '1686', '36555', '82169', 'UH0698', '1308'})",1
7,"frozenset({'85321', '120767', '78573', '44038', '81657', 'SN70006Z', '69589', '63210', 'UH0715', '133577', '40943', 'UH0822', 'UH0697', 'SN0605', '27582M', 'LHLS970', '128453', '38206', 'UH0819', '36613', 'SN0310', 'SN01182', 'SN00112', '34985', '83104', '39798', '53171', 'UH0700', '38262', '129771', '50341', '38141', '56931', 'SN0608', '84364', '44744', 'SN00591', '50956', '38261', '38279', 'LHLS839', '78444', '134060', '38401', '1122', '47320', '36556', '3181', '597', '38207', '352', 'LHLS842', 'SN20406', '81165', '1919', '31258', '120817', '38202', '44782', '35923', '44680', '36608', '44409', '72791', 'LHLS893', '36285', '36380', 'SN00983', 'SN01178', '52902', '5478', '84665', '82561', '36038', '29413', '86684', 'SN0610', '83533', '587', '3070', 'SN42824', '38242', '80623', '41393', '36558', '35893', '133221', '80878', 'SN1087', '35863', '3229', '338', 'SN0611', '38193', '1857', 'SN00114', '128771', '2008', 'UH0699', 'SN0602', '36343', '36185', '35983', '83106', '134033', '58116', '36555', 'UH0698', 'SN80002', '38160'})",2
8,"frozenset({'120767', '85321', '78573', '99268', '121344', '44038', '81657', 'SN70006Z', '63210', 'UH0715', '133577', '99271', '40943', 'UH0697', 'UH0822', 'SN0605', '27582M', '99269', 'LHLS970', '38246', '60945', '128453', '38206', '36613', 'SN01182', 'SN00112', '34985', '83104', '39798', '53171', 'SN100146', 'UH0700', '129771', '56931', 'SN0608', '84364', '44744', 'SN00591', '99272', '50956', 'SN00400', '38279', 'LHLS839', '58383', '78444', '134060', '38401', '1122', '47320', '129636', '38247', '36556', '38403', '597', '38207', '352', 'LHLS842', 'SN20406', '81165', '36305', '1919', '31258', '120817', '38202', '38208', '291', '44782', '35923', '36608', '44409', 'LHLS893', '36285', '99270', '36380', 'SN01178', '36309', '58078', '52902', '5478', '84665', '82561', '36038', '99273', '29413', '86684', 'SN0610', '83533', '587', '48137', 'SN42824', '38242', '80623', '36558', '35893', '133221', '128770', '80878', '38402', 'SN1087', '42345', '35863', '3229', 'SN0611', '38404', '38193', '1857', 'SN00114', '2008', 'UH0699', 'SN0602', '36343', '35983', '83106', '134033', '58116', '36555', '39315', 'UH0698', '289', 'SN80002', '38160'})",2
9,"frozenset({'99268', '85321', '78573', '44038', '81657', '68776', 'SN70006Z', '69589', 'UH0583', 'UH0715', '99271', '40943', 'UH0822', 'UH0697', 'SN0605', '27582M', '99269', 'LHLS970', '60945', '128453', '38206', 'SN01182', 'SN00112', '351', '34985', '79541', '83104', '39798', '53171', 'SN6895', '129771', '45723', '38160', '50341', '21920', '84364', '108253', '77069', '44744', 'SN00591', '99272', 'SN00400', '38279', 'LHLS839', '58383', 'UH0211', '80950', '1122', '36199', '47320', '129636', '36556', '597', '38188', '1917', '585', 'SN20406', '38199', '81165', 'SN80003', '31258', '120817', '44782', '38197', '35923', '44680', '36608', '44409', '40576', 'LHLS893', '36285', '99270', '36380', '40611', 'SN00983', 'SN01178', '52902', '5478', '84665', '82561', '99273', 'SN01105', '82100', '36038', '86684', '83533', '587', '44696', '3070', 'SN42824', '38242', '80623', '36558', '35893', '133221', '80878', 'UH0580', 'SN1087', '43954', '35863', '82099', 'SN0622', '58530', '36560', 'SN00114', '1857', '44058', '2008', 'UH0699', '36343', '35983', '83106', '1686', '36555', '39315', 'UH0698', 'UH0959', 'SN80002', '1308', '38198'})",1
